Marca temporal,Nombre y apellido integrante 1,Nombre y apellido integrante 2,Un celular de contacto,Categoría,Viernes 18:00 a 21:00,Viernes 21:00 a 00:00,Sábado 9:00 a 12:00,Sábado 12:00 a 15:00,Sábado 16:00 a 19:00,Sábado 19:00 a 22:00
2025-10-15 08:00:00,Juan Pérez,María López,099123456,Cuarta,,,"Sábado 9:00 a 12:00","Sábado 12:00 a 15:00",,
2025-10-15 09:30:00,Carlos Gómez,Ana Martínez,099234567,Cuarta,,,"Sábado 9:00 a 12:00",,"Sábado 16:00 a 19:00",
2025-10-15 11:00:00,Pedro Rodríguez,Laura Fernández,099345678,Cuarta,"Viernes 18:00 a 21:00",,,"Sábado 12:00 a 15:00",,
2025-10-15 12:30:00,Luis García,Carmen Sánchez,099456789,Cuarta,,,"Sábado 9:00 a 12:00",,"Sábado 16:00 a 19:00",
2025-10-15 14:00:00,Miguel Torres,Isabel Ramírez,099567890,Cuarta,"Viernes 18:00 a 21:00",,,"Sábado 12:00 a 15:00",,
2025-10-15 15:30:00,Jorge Castro,Patricia Morales,099678901,Cuarta,,,,"Sábado 12:00 a 15:00",,"Sábado 19:00 a 22:00"
2025-10-15 17:00:00,Alejandro Ruiz,Sofía Díaz,099789012,Cuarta,,,"Sábado 9:00 a 12:00","Sábado 12:00 a 15:00",,
2025-10-15 18:30:00,Daniel Herrera,Valentina Cruz,099890123,Cuarta,,,,"Sábado 12:00 a 15:00","Sábado 16:00 a 19:00","Sábado 19:00 a 22:00"
2025-10-15 20:00:00,Andrés Moreno,Camila Rojas,099901234,Cuarta,,,"Sábado 9:00 a 12:00",,"Sábado 16:00 a 19:00",
2025-10-15 21:30:00,Sebastián Vargas,Lucía Méndez,099012345,Cuarta,,"Viernes 21:00 a 00:00",,,"Sábado 16:00 a 19:00","Sábado 19:00 a 22:00"
2025-10-15 23:00:00,Mateo Ortiz,Emma Jiménez,099123457,Cuarta,"Viernes 18:00 a 21:00",,,,,"Sábado 19:00 a 22:00"
2025-10-16 00:30:00,Gabriel Silva,Victoria Ramos,099234568,Cuarta,"Viernes 18:00 a 21:00","Viernes 21:00 a 00:00",,,,
2025-10-16 02:00:00,Javier Serrano,Constanza Paz,099789014,Sexta,"Viernes 18:00 a 21:00",,,"Sábado 12:00 a 15:00",,
2025-10-16 03:30:00,Martín Blanco,Delfina Núñez,099890125,Sexta,"Viernes 18:00 a 21:00",,,,"Sábado 16:00 a 19:00",
2025-10-16 05:00:00,Ignacio Guerrero,Pilar Domínguez,099901236,Sexta,"Viernes 18:00 a 21:00","Viernes 21:00 a 00:00",,,,
